latitude,longitude
36.159222,-115.498872
36.007756,-115.48758
36.125584,-115.474542
36.267538,-115.614223
36.262755,-115.63252
36.255935,-115.647896
35.10403,-113.89011
35.10403,-113.89011
35.10403,-113.89011
35.10403,-113.89011
35.09869,-113.88814
36.156506,-115.49592
36.161672,-115.618922
35.10437,-113.891988
36.270679,-115.596926
36.270679,-115.596926
36.150769,-115.522694
36.193544,-115.438297
35.243672,-115.297342
36.727068,-114.137864
36.159464,-115.455917
36.123408,-115.485568
36.124324,-115.479819
34.281369,-117.332401
36.078883,-115.471808
36.123408,-115.485568
36.093131,-115.450048
36.179782,-115.482182
36.163432,-115.502782
36.157665,-115.4981
35.144464,-113.924518
36.6525,-114.06625
36.6525,-114.06625
36.6525,-114.06625
36.6525,-114.06625
36.6525,-114.06625
36.193544,-115.438297
36.28583,-115.592828
35.148514,-113.779792
35.096389,-113.891667
35.08688,-113.869934
36.676567,-114.015518
36.499454,-113.710192
35.086181,-113.87327
36.082075,-115.484644
36.144628,-115.49455
36.163117,-115.450142
36.156578,-115.496964
36.103615,-115.540089
34.281445,-117.331512
34.246942,-117.61277
36.16383,-115.4503
36.181269,-115.474399
36.133556,-115.467777
36.050281,-115.476988
36.156506,-115.497185
36.124172,-115.490738
34.28831,-117.3476
34.307951,-117.295424
34.307951,-117.295424
36.148526,-115.4741
34.306075,-117.314012
36.258375,-115.639995
36.258375,-115.639995
35.245542,-115.296928
35.245642,-115.297869
35.99006,-115.519672
36.267045,-115.613045
36.147228,-115.488472
34.089439,-117.018183
36.264788,-115.611287
34.292002,-117.208637
36.163228,-115.450133
36.156575,-115.495912
36.274656,-115.592635
35.454222,-114.168222
35.2324,-115.3003
35.24631,-115.29757
36.267897,-115.615417
36.166587,-115.44795
36.163253,-115.450144
36.12267,-115.484753
36.505939,-113.711369
36.646583,-114.072769
36.5502,-114.0312
36.6364,-114.0208
36.654833,-114.018
35.111333,-113.904833
35.125,-113.912967
35.463667,-114.185278
36.07837527,-113.5772701
35.046033,-113.587567
36.11278,-113.99528
36.194761,-115.438297
36.194761,-115.438297
36.16367,-115.503228
36.14646,-115.489993
34.19025,-116.788278
34.282583,-117.354611
36.084801,-115.491869
36.1623,-115.4496
36.2667,-115.5833
36.1631,-115.4506
34.083,-116.895
36.078834,-115.471732
36.18015,-115.482595
36.163039,-115.450195
36.181027,-115.484459
35.025109,-113.827971
34.287645,-117.353804
36.15654,-115.495857
35.988686,-115.526554
36.659933,-113.871945
36.64164,-114.016109
36.649894,-114.019282
36.623795,-113.98302
36.637847,-114.011647
34.264728,-117.304672
36.660431,-114.011533
36.208045,-115.517606
36.631827,-114.042906
34.293005,-117.157805
35.246014,-115.297745
34.27018,-117.28067
36.14655,-115.489883
34.185799,-116.901581
35.2469,-115.29781
34.288372,-117.35903
36.124758,-115.477242
36.147822,-115.486769
36.194427,-115.438297
36.089236,-115.473038
36.013003,-115.522004
36.161727,-115.449571
35.395203,-114.159892
36.163567,-115.450794
36.15652,-115.495998
36.08102,-115.533342
36.266944,-115.658611
36.266675,-115.611625
36.181239,-115.473603
36.26734,-115.63492
36.164997,-115.506554
36.170322,-115.506622
35.068901,-113.863009
36.147522,-115.487862
36.10347,-115.486847
36.16197,-115.485022
36.269763,-115.594812
36.156536,-115.496003
36.136543,-115.456894
36.143901,-115.498297
36.185112,-115.435355
36.166667,-115.5
37.497986,-114.604452
35.245733,-115.298017
35.243361,-115.297644
36.163761,-115.442917
36.124378,-115.57215
36.102992,-115.481177
35.990447,-115.520363
36.123515,-115.482041
36.124353,-115.572145
35.243703,-115.297311
36.165563,-115.445723
35.245781,-115.297683
36.163028,-115.450192
36.156421,-115.496344
36.034528,-115.54255
36.079362,-115.468374
36.102093,-115.473892
36.156962,-115.460584
36.491422,-113.692447
35.097064,-113.891425
36.135589,-115.427872
36.166517,-115.5084
36.078864,-115.471803
36.156558,-115.496107
36.124884,-115.479363
36.163056,-115.450185
36.124387,-115.487854
36.135589,-115.427872
36.167193,-115.447858
36.165902,-115.449834
35.2324,-115.3003
34.286672,-117.348274
34.1775,-116.9033
34.18313,-116.8876
34.184114,-116.90753
34.330647,-117.327914
34.184114,-116.90753
34.184114,-116.90753
36.64075,-114.017933
34.191667,-116.875
35.263162,-115.307446
35.217691,-115.297955
35.24165,-115.306517
35.251554,-115.326325
34.18493,-116.90558
35.224817,-115.303467
34.19115,-116.91871
34.19538,-116.92807
34.299872,-117.205103
34.184114,-116.90753
34.283634,-117.334169
34.184114,-116.90753
34.298432,-117.197044
34.184114,-116.90753
34.18493,-116.90558
34.27019,-117.169745
34.186259,-116.91369
35.259041,-115.301556
34.183125,-116.860263
34.1661,-116.5732
35.2421,-115.2987
34.181912,-116.977731
34.184114,-116.90753
34.186259,-116.91369
34.18521,-116.86663
34.185095,-116.90985
34.184114,-116.90753
34.273239,-117.14652
36.269287,-115.594543
36.123172,-115.489491
36.154151,-115.494225
36.26904,-115.60951
36.123778,-115.4765
36.63817,-114.01173
35.24573,-115.29802
34.18314,-116.88761
34.18647,-116.86514
34.19539,-116.92808
34.19194,-116.91436
